order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,408,3,257.27,771.81
2,1,40,3,222.13,666.39
3,1,334,5,163.54,817.7
4,2,206,4,339.06,1356.24
5,2,129,5,98.49,492.45
6,2,320,1,317.64,317.64
7,2,264,5,432.73,2163.65
8,3,256,4,141.29,565.16
9,3,110,5,406.38,2031.9
10,3,339,4,467.97,1871.88
11,3,493,1,265.91,265.91
12,3,422,3,236.62,709.86
13,4,78,3,423.62,1270.86
14,4,383,4,166.14,664.56
15,5,325,2,424.52,849.04
16,6,422,2,135.66,271.32
17,6,147,5,125.7,628.5
18,6,331,2,65.64,131.28
19,7,15,3,237.44,712.32
20,7,126,5,495.73,2478.65
21,8,332,2,143.63,287.26
22,8,464,1,136.61,136.61
23,8,19,3,332.75,998.25
24,8,104,2,325.7,651.4
25,9,494,4,393.29,1573.16
26,10,441,1,163.81,163.81
27,11,444,4,449.42,1797.68
28,11,33,1,204.48,204.48
29,11,462,2,125.66,251.32
30,12,377,5,475.34,2376.7
31,12,257,5,133.39,666.95
32,12,478,1,126.66,126.66
33,12,62,1,388.86,388.86
34,12,268,3,171.35,514.05
35,13,378,2,468.4,936.8
36,13,200,2,80.7,161.4
37,13,413,2,114.91,229.82
38,13,384,3,225.34,676.02
39,13,381,3,432.82,1298.46
40,14,252,5,193.61,968.05
41,15,163,5,217.65,1088.25
42,16,494,2,187.87,375.74
43,16,143,3,412.47,1237.41
44,17,331,5,27.06,135.3
45,18,354,2,133.96,267.92
46,19,159,3,452.55,1357.65
47,19,328,1,272.11,272.11
48,19,491,2,430.25,860.5
49,19,359,4,13.85,55.4
50,20,475,1,468.8,468.8
51,20,470,2,155.74,311.48
52,20,131,2,458.79,917.58
53,20,155,3,440.94,1322.82
54,21,405,1,413.37,413.37
55,21,18,4,240.83,963.32
56,21,141,4,463.98,1855.92
57,21,444,3,361.52,1084.56
58,22,423,2,352.26,704.52
59,23,34,5,371.51,1857.55
60,23,181,4,350.65,1402.6
61,23,216,1,324.27,324.27
62,23,309,2,318.78,637.56
63,23,374,2,11.51,23.02
64,24,322,3,292.15,876.45
65,24,157,1,87.33,87.33
66,25,366,2,425.01,850.02
